num,polygon
1,"[[0.0, 0.0], [-0.232028, 2.262837], [-3.713316, 2.262837], [-3.713316, 0.058138]]"
1,"[[0.0, 0.0], [0.0, 3.075022], [-3.655352, 3.249086], [-4.989904, 0.174065], [-3.075196, -0.290166], [-0.986423, -0.46423]]"
1,"[[0.0, 0.0], [-0.290166, 2.610966], [-7.949, 2.669103], [-9.863708, 1.392516], [-9.979634, 0.174065], [-6.266318, 0.290166], [-2.901131, 0.232202], [-1.972672, -0.580156], [-0.522193, -0.580156]]"
1,"[[0.0, 0.0], [0.116101, 1.276415], [3.423325, 1.740644], [4.931941, 1.740644], [6.904613, 0.928285], [6.788512, -0.754221], [0.290166, -0.928285]]"
1,"[[0.0, 0.0], [-0.174065, 5.802089], [-2.436901, 7.136641], [-5.45396, 7.426632], [-7.484769, 8.703221], [-7.949, 11.37215], [-11.894343, 11.430113], [-11.894343, 6.730374], [-11.894343, 0.289992], [-9.051349, -0.232202], [-9.515579, -3.829417], [-3.508616, -4.060053], [-3.017059, -0.232202]]"
1,"[[0.0, 0.0], [0.232202, 5.338033], [-4.35161, 5.395996], [-4.35161, 0.348129], [-1.972672, 0.348129]]"
1,"[[0.0, 0.0], [5.45396, -0.232202], [5.337859, 1.972672], [4.119408, 2.959095], [1.508442, 2.959095], [0.289992, 1.624543]]"
1,"[[0.0, 0.0], [6.208355, -0.174065], [6.092254, 1.160487], [5.047868, 2.610966], [2.553002, 2.610966]]"
1,"[[0.0, 0.0], [-2.088773, 0.058138], [-2.553002, 1.218451], [-1.972846, 2.495039], [0.754221, 3.423325], [1.972672, 2.088773], [1.740644, -0.057964]]"
1,"[[0.0, 0.0], [-1.450479, 0.290166], [-2.78503, -0.522193], [-7.832898, -0.522193], [-8.006963, -2.727067], [-6.38242, -3.075196], [-6.498347, -4.177546], [-0.116101, -4.583638]]"
1,"[[0.0, 0.0], [4.35161, 0.0], [4.119582, -1.624543], [3.887554, -5.511923], [1.392516, -5.860053], [-0.406093, -4.699739], [0.174065, -2.668929], [-0.464056, -1.798607]]"
1,"[[0.0, 0.0], [0.289992, 2.3208], [6.498347, 2.553002], [6.730374, 0.406093], [3.13316, 0.057964]]"
1,"[[0.0, 0.0], [-0.812184, 0.754395], [-0.870322, 1.856745], [1.740644, 1.972846], [2.088773, 0.46423]]"
1,"[[0.0, 0.0], [-0.057964, 1.914708], [-4.003482, 2.552828], [-4.293473, 1.044387], [-3.017059, 0.057964], [-1.450479, -0.174065]]"
1,"[[0.0, 0.0], [-2.436901, 0.870322], [-2.146736, 1.798607], [-0.464056, 2.088773], [1.972846, 2.378764], [2.146911, 1.276415], [1.508616, 0.232028]]"
1,"[[0.0, 0.0], [0.0, 1.972672], [-2.2047, 2.146736], [-3.829417, 1.624543], [-3.88738, -0.116101]]"
1,"[[0.0, 0.0], [-0.348129, 2.378938], [-2.030635, 2.320975], [-2.959095, 0.638294], [-1.682506, -0.174065]]"
1,"[[0.0, 0.0], [-0.174065, 0.754221], [-2.03081, 1.508442], [-1.798782, 2.552828], [0.174065, 3.597215], [1.798607, 2.378764], [3.945344, 2.3208], [4.293473, 1.450479], [4.35161, 0.522193], [2.436901, 0.406093]]"
1,"[[0.0, 0.0], [3.13316, 2.843168], [5.860053, 2.959095], [7.194604, 1.682681], [5.802089, -0.232028], [2.552828, -0.174065]]"
1,"[[0.0, 0.0], [-0.232028, 2.669103], [-3.017059, 2.495039], [-2.959095, -0.057964]]"
1,"[[0.0, 0.0], [1.218451, 2.959095], [-0.928459, 2.668929], [-1.56658, 1.856745], [-1.56658, 0.522193], [-0.754395, -0.057964]]"
1,"[[0.0, 0.0], [-0.348129, 2.204874], [0.290166, 2.843168], [1.914708, 2.669103], [3.017232, 1.740644], [2.553002, 1.044387], [2.436901, 0.46423], [1.160487, -0.174065]]"
1,"[[0.0, 0.0], [0.290166, 2.842994], [-3.13316, 3.075022], [-4.81584, 1.218451], [-5.105831, 0.232028]]"
1,"[[0.0, 0.0], [4.525675, -0.348129], [4.525675, -1.798607], [3.713316, -4.003482], [2.088773, -4.235509], [-0.116101, -4.583638]]"
1,"[[0.0, 0.0], [2.495039, -0.580156], [4.061619, -1.392516], [4.467711, -3.945344], [0.870322, -4.409573], [0.174065, -3.829417]]"
1,"[[0.0, 0.0], [-0.435161, 4.35161], [0.957354, 5.1349], [2.175805, 4.873804], [2.78503, 2.00174], [3.655352, 1.131419], [3.568321, -0.348129]]"
1,"[[0.0, 0.0], [5.91819, 0.174065], [6.179286, -2.175805], [0.78329, -2.697999]]"
1,"[[0.0, 0.0], [0.0, 1.131419], [-1.827676, 1.218451], [-1.740644, -0.348129]]"
1,"[[0.0, 0.0], [3.046127, 0.0], [3.829417, -0.696257], [3.742385, -5.570061], [-2.436901, -5.047868], [-2.00174, -3.655352], [0.348129, -3.742385]]"
1,"[[0.0, 0.0], [-0.522193, 3.481288], [3.13316, 4.090514], [5.221932, 2.175805], [5.744125, 0.696257], [4.873804, -0.609225], [2.436901, 0.261097]]"
1,"[[0.0, 0.0], [-0.261097, 0.78329], [1.653612, 1.740644], [2.34987, 2.523934], [3.394256, 0.870322], [3.481288, -0.174065]]"
1,"[[0.0, 0.0], [0.174065, 1.56658], [5.047868, 2.00174], [4.786771, -0.609225], [4.090514, 0.0]]"
1,"[[0.0, 0.0], [-0.087032, 2.175805], [1.392516, 2.610966], [1.479548, 0.174065]]"
1,"[[0.0, 0.0], [0.0, 0.609225], [3.13316, 0.870322], [3.220191, 0.261097], [2.088773, 0.087032], [2.00174, -0.522193], [0.696257, -0.609225]]"
1,"[[0.0, 0.0], [0.609225, -0.609225], [3.307224, -0.696257], [3.742385, 2.436901], [0.348129, 2.523934]]"
1,"[[0.0, 0.0], [-0.348129, 4.612707], [-3.307224, 4.35161], [-5.221932, 3.655352], [-5.308965, 0.087032]]"
1,"[[0.0, 0.0], [0.261097, 2.872063], [0.957354, 3.394256], [1.131419, 4.003482], [3.307224, 3.394256], [4.699739, 3.655352], [4.699739, -0.261097]]"
1,"[[0.0, 0.0], [0.261097, 4.438643], [3.394256, 4.438643], [3.394256, 0.696257], [0.870322, 0.696257]]"
1,"[[0.0, 0.0], [0.087032, 2.872063], [0.957354, 3.307224], [3.13316, 3.046127], [5.395996, 1.56658], [5.308965, -0.261097]]"
1,"[[0.0, 0.0], [0.261097, 3.829417], [-0.522193, 4.525675], [-5.047868, 4.090514], [-6.440383, 4.003482], [-6.440383, 1.131419], [-5.657093, -0.261097]]"
1,"[[0.0, 0.0], [1.479548, -2.262837], [7.136641, -0.78329], [7.310705, 1.305483], [7.745866, 1.914708], [7.745866, 6.266318], [5.047868, 8.268059], [-0.348129, 8.355092]]"
1,"[[0.0, 0.0], [0.261097, 2.959095], [4.612707, 3.307224], [4.699739, 0.522193], [4.090514, -0.261097]]"
1,"[[0.0, 0.0], [0.0, 5.1349], [3.13316, 5.483029], [4.35161, 4.786771], [5.483029, -0.348129]]"
1,"[[0.0, 0.0], [4.699739, -0.087032], [5.221932, -1.392516], [6.875544, -1.392516], [6.701479, -6.266318], [3.046127, -7.397737], [1.392516, -4.786771], [0.696257, -2.00174]]"
1,"[[0.0, 0.0], [2.175805, 2.697999], [4.264578, 3.220191], [8.355092, 6.701479], [7.919931, -1.827676], [3.742385, -2.262837]]"
1,"[[0.0, 0.0], [-0.522193, 1.827676], [-3.220191, 1.56658], [-3.046127, -0.435161]]"
1,"[[0.0, 0.0], [0.087032, 2.088773], [5.657093, 2.00174], [5.570061, 0.348129]]"
1,"[[0.0, 0.0], [0.087032, 1.653612], [-5.308965, 1.479548], [-5.395996, -0.348129]]"
1,"[[0.0, 0.0], [0.78329, 2.610966], [5.221932, 2.697999], [5.657093, 1.479548], [5.221932, -1.131419]]"
1,"[[0.0, 0.0], [-1.044387, 1.653612], [-0.870322, 5.483029], [0.78329, 5.308965], [1.653612, 7.745866], [5.483029, 8.877285], [7.049608, 6.614447], [8.703221, 5.570061], [8.529156, 1.479548], [7.136641, 0.0], [5.744125, -0.348129], [4.699739, -0.696257]]"
1,"[[0.0, 0.0], [1.479548, 0.348129], [2.34987, 1.392516], [1.914708, 2.175805], [-6.005222, 2.436901], [-7.310705, 1.131419], [-4.873804, 0.522193], [-3.829417, -0.348129]]"
1,"[[0.0, 0.0], [0.522193, 3.829417], [2.088773, 4.699739], [3.394256, 4.786771], [6.353351, 6.527415], [8.442123, 6.266318], [9.399478, 5.395996], [9.138381, 1.740644], [7.919931, 1.392516], [6.614447, -0.435161]]"
1,"[[0.0, 0.0], [0.261097, 9.48651], [-0.696257, 11.314186], [-4.525675, 11.314186], [-6.788512, 9.660574], [-7.397737, 5.657093], [-7.484769, 0.957354], [-1.914708, 0.522193]]"
1,"[[0.0, 0.0], [0.435161, 2.262837], [1.131419, 2.78503], [1.131419, 4.003482], [4.960835, 4.090514], [5.831157, 3.046127], [5.91819, 0.522193]]"
1,"[[0.0, 0.0], [2.00174, 3.220191], [5.744125, 3.220191], [6.440383, 3.220191], [6.179286, 0.435161]]"
1,"[[0.0, 0.0], [-0.609225, 8.181027], [0.870322, 9.747607], [2.610966, 9.834639], [4.090514, 8.964317], [6.962576, 5.221932], [6.962576, 2.872063], [4.873804, 0.087032]]"
1,"[[0.0, 0.0], [1.914708, 2.34987], [9.225414, 1.479548], [10.966057, 0.78329], [9.660574, -0.957354], [5.221932, 0.0]]"
1,"[[0.0, 0.0], [-0.348129, 8.006963], [-1.914708, 8.877285], [-6.614447, 5.308965], [-9.225414, 4.786771], [-9.225414, -0.174065], [-5.483029, -0.957354], [-1.044387, -1.218451]]"
1,"[[0.0, 0.0], [-7.136641, -0.087032], [-6.788512, -5.657093], [-4.612707, -5.483029], [-3.829417, -6.788512], [-2.175805, -7.049608], [0.348129, -3.742385]]"
1,"[[0.0, 0.0], [-0.174065, 4.090514], [-5.1349, 5.831157], [-7.919931, 4.699739], [-7.745866, 1.479548], [-6.962576, -0.348129]]"
1,"[[0.0, 0.0], [0.435161, 3.481288], [-3.13316, 3.655352], [-4.264578, 2.34987], [-3.046127, -0.78329]]"
1,"[[0.0, 0.0], [0.261097, 4.264578], [-1.305483, 6.005222], [-3.916449, 6.092254], [-5.483029, 4.699739], [-5.221932, 1.827676], [-3.568321, -0.174065]]"
1,"[[0.0, 0.0], [0.0, 5.657093], [0.870322, 7.484769], [3.220191, 7.136641], [7.223673, 7.571802], [7.310705, 2.262837], [6.179286, -0.870322]]"
1,"[[0.0, 0.0], [0.174065, 5.1349], [1.392516, 5.91819], [5.91819, 5.744125], [5.831157, 2.697999], [6.875544, 1.914708], [6.701479, -0.348129]]"
1,"[[0.0, 0.0], [-0.261097, 5.047868], [6.527416, 5.221932], [6.614447, -0.087032]]"
1,"[[0.0, 0.0], [5.744125, -0.261097], [6.875544, -0.957354], [5.91819, -6.875544], [2.872063, -8.790252], [-0.348129, -8.093995]]"
1,"[[0.0, 0.0], [5.744125, -0.957354], [5.744125, 4.003482], [5.047868, 5.831157], [1.740644, 6.005222], [0.0, 4.003482]]"
1,"[[0.0, 0.0], [-1.653612, -1.392516], [-1.56658, -6.179286], [10.2698, -7.397737], [12.271541, -7.223673], [11.923412, -3.481288], [10.095735, -0.78329], [5.657093, -0.696257]]"
1,"[[0.0, 0.0], [-0.609225, 1.392516], [-0.522193, 2.78503], [12.271541, 2.610966], [12.271541, 0.0]]"
1,"[[0.0, 0.0], [0.348129, 7.658834], [1.392516, 8.790252], [7.136641, 8.006963], [8.355092, 5.831157], [8.093995, -0.609225]]"
1,"[[0.0, 0.0], [0.261097, 6.962576], [3.046127, 7.919931], [9.051349, 7.658834], [8.964317, -0.087032]]"
1,"[[0.0, 0.0], [-0.087032, 3.220191], [1.653612, 4.960835], [11.749348, 4.960835], [12.010444, -0.174065]]"
1,"[[0.0, 0.0], [0.174065, 3.13316], [1.131419, 4.177546], [2.00174, 2.872063], [3.307224, 3.916449], [4.090514, -0.261097]]"
1,"[[0.0, 0.0], [4.699739, -0.609225], [5.570061, 2.523934], [4.786771, 3.481288], [3.481288, 3.655352], [2.34987, 4.438643], [0.435161, 3.916449]]"
1,"[[0.0, 0.0], [-0.174065, 2.959095], [2.00174, 3.655352], [2.78503, 3.307224], [2.78503, -0.174065]]"
1,"[[0.0, 0.0], [0.0, 1.479548], [0.696257, 5.221932], [0.0, 9.48651], [-7.310705, 9.573543], [-9.921671, 8.006963], [-10.095735, 3.394256], [-9.138381, 1.479548], [-9.138381, -0.174065]]"
1,"[[0.0, 0.0], [-0.435161, 2.610966], [4.525675, 2.436901], [5.047868, 2.00174], [4.960835, 0.174065], [4.438643, -2.00174]]"
